Agglomération,2011-10-25,Conforme
C.S. C. Robillard - Natation,2011-10-24,Conforme
C.S. C. Robillard - Plongeon,2011-10-24,Conforme
Georges-Vernot,2011-10-25,Conforme
Sophie Barat,2011-10-17,Conforme
YMCA Cartierville,2011-10-20,Conforme
École sec. Anjou/ C.S. Pte-de-l 'île (1),2011-10-17,Conforme
Notre-Dame-de-Grâce,2011-10-12,Conforme
C.S. NDG Natation,2011-10-12,Conforme
C.S. NDG Multifonctionnel,2011-10-12,Conforme
Aquadôme natation,2011-10-04,Conforme
Aquadôme récréatif,2011-10-04,Conforme
Aquadôme récréatif,2011-10-17,Conforme
Schubert,2011-10-27,Conforme
Centre du Plateau,2011-10-26,Conforme
Lévesque,2011-10-19,Conforme
Gadbois,2011-10-11,Conforme
St-Henri,2011-10-19,Conforme
St-Charles,2011-10-19,Conforme
C. S.  Petite Bourgogne,2011-10-11,Conforme
Émard,2011-10-11,Conforme
Hochelaga,2011-10-11,Conforme
Morgan,2011-10-11,Conforme
Henri-Bourassa,2011-10-19,Conforme
2011-10-25,2011-10-25,Conforme
Conforme,2011-10-25,Conforme
Ville de Montréal,2011-10-25,Conforme
Centre aquatique RDP,2011-10-26,Conforme
Pointe-aux-Trembles/ C.S. Pte-de-l 'île (1),2011-10-17,Conforme
Roussin,2011-10-26,Conforme
Père-Marquette,2011-10-25,Conforme
Rosemont,2011-10-04,Conforme
Rosemont,2011-10-19,Conforme
Saint-Denis,2011-10-11,Conforme
St-Léonard,2011-10-12,Conforme
Académ ie Beurling/ C.S. L.B.Pearson (2),2011-10-05,Conforme
Académ ie Beurling/ C.S. L.B.Pearson (2),2011-10-19,Conforme
Quintal,2011-10-12,Conforme
A.S.C. du Centre-Sud,2011-10-25,Conforme
Jean-Claude Malépart,2011-10-24,Conforme
Patro Le Prévost,2011-10-19,Conforme
John F Kennedy,2011-10-12,Conforme
Saint-Roch,2011-10-26,Conforme
